-0.951,0.237,-0.27096,-0.063,-0.063
-0.67,0,-0.54275,-0.632,-0.632
-10.188,84.375,28.646,-3.25,-3.25
-57.625,45.875,-2.9348,-4.75,-4.75
-74.875,36.188,7.9747,4.062,4.062
-42,40,-0.15827,5,5
-16,33,-0.69767,9,9
-16,22,-0.91803,12,12
-13,13,-0.88618,10,10
-30,31,-1.096,3,3
-17,14,-0.96,4,4
-10,8,-0.99153,-2,-2
-37,46,-0.27206,-18,-18
-0.865,0,-0.84861,-0.85,-0.85
-0.494,0,-0.46381,-0.475,-0.475
-0.233,0.069,-0.054784,0.038,0.038
0.111,0.26,0.22022,0.225,0.225
0.653,0.946,0.80355,0.893,0.893
-0.719,0,-0.28574,-0.115,-0.115
-0.663,0,-0.51593,-0.512,-0.512
-33.062,57.75,20.297,-33.062,-33.062
-44.125,36.125,-8.2928,10.25,10.25
-50.688,50.938,3.6444,0.375,0.375
-38,46,-0.55714,-27,-27
-11,18,-0.86667,-2,-2
-13,16,-1,2,2
-14,18,-0.74453,7,7
-29,47,-0.9037,-5,-5
-9,19,-0.93651,-5,-5
-10,4,-0.9916,1,1
-50,30,-1.2014,1,1
-0.883,0,-0.87038,-0.856,-0.856
-0.514,0,-0.48391,-0.514,-0.514
-0.129,0,-0.031981,-0.021,-0.021
0.048,0.095,0.077981,0.048,0.048
0.763,0.984,0.86577,0.964,0.964
-0.259,0,-0.11391,-0.077,-0.077
-0.581,0,-0.49364,-0.388,-0.388
-18.25,64.25,7.685,-8.562,-8.562
-21.75,2.688,-8.737,-15.062,-15.062
-18,33.25,8.9787,-2.938,-2.938
-51,35,-0.09434,2,2
-13,9,-0.77778,2,2
-14,17,-0.82857,5,5
-14,14,-0.84848,3,3
-51,49,-1.1442,-17,-17
-17,20,-1.2447,-10,-10
-8,8,-0.87368,1,1
-61,43,-0.15888,4,4
-0.918,0,-0.90261,-0.916,-0.916
-0.455,0,-0.38055,-0.368,-0.368
-0.253,0.007,-0.046642,-0.007,-0.007
0.121,0.201,0.17671,0.158,0.158
0.53,0.856,0.69338,0.683,0.683
-0.431,0,-0.20235,-0.13,-0.13
-0.751,0,-0.67557,-0.701,-0.701
-11.875,92.125,20.566,-4.75,-4.75
-41,40.688,3.5055,-4.75,-4.75
-17.5,30.062,7.0018,-3.375,-3.375
-62,39,-1.5682,-15,-15
-21,13,-0.82258,-11,-11
-19,23,-0.8125,-11,-11
-11,17,-0.92063,-6,-6
-21,24,-0.70968,7,7
-9,6,-0.92857,3,3
-9,7,-0.93805,-1,-1
-31,30,-1.3111,-4,-4
-0.883,0,-0.86933,-0.882,-0.882
-0.49,0,-0.40361,-0.378,-0.378
-0.254,0.055,-0.014097,0.051,0.051
0.133,0.316,0.25831,0.276,0.276
0.609,0.888,0.72644,0.752,0.752
-0.52,0,-0.21069,-0.098,-0.098
-0.732,0,-0.63529,-0.647,-0.647
-12.688,101.56,27.393,-12.688,-12.688
-41.875,40.25,1.3862,-10.125,-10.125
-43.562,34.75,3.0694,5.25,5.25
-73,62,-1.4362,-28,-28
-16,22,-1.2308,22,22
-15,31,-1.2098,12,12
-15,27,-0.96377,0,0
-42,22,-0.87681,-1,-1
-18,13,-0.62857,3,3
-12,7,-0.71538,-1,-1
-55,59,-0.48299,3,3
-0.865,0,-0.85196,-0.858,-0.858
-0.513,0,-0.46258,-0.452,-0.452
-0.267,0.076,-0.10318,0.053,0.053
0.093,0.258,0.18562,0.239,0.239
0.656,0.986,0.7897,0.81,0.81
-0.726,0,-0.33978,-0.121,-0.121
-0.609,0,-0.49529,-0.546,-0.546
-32.875,51.25,15.227,-14.812,-14.812
